Name,Type,Communicative,Count Norm treshold, Init Area
agent0aa,balanced,1,6,29
agent0ab,opportunist,1,6,13
agent0ac,conformist,1,6,32
agent0ad,opportunist,1,7,38
agent0ae,conformist,1,5,39
agent0af,conformist,1,7,18
agent0b0,conformist,1,3,27
agent0b1,balanced,1,5,39
agent0b2,opportunist,1,3,21
agent0b3,balanced,1,4,38
agent0b4,conformist,1,8,39
agent0b5,conformist,1,7,22
agent0b6,conformist,1,8,13
agent0b7,balanced,1,8,39
agent0b8,conformist,1,7,35
agent0b9,opportunist,1,5,33
agent0ba,opportunist,1,6,5
agent0bb,balanced,1,5,31
agent0bc,balanced,1,8,20
agent0bd,opportunist,1,3,15
agent0be,conformist,1,8,15
agent0bf,balanced,1,8,3
agent0c0,opportunist,1,3,18
agent0c1,conformist,1,8,7
agent0c2,opportunist,1,3,16
agent0c3,opportunist,1,5,13
agent0c4,conformist,1,4,14
agent0c5,conformist,1,4,1
agent0c6,balanced,1,5,25
agent0c7,balanced,1,3,1
