Name,Type,Communicative,Count Norm treshold, Init Area
agent08e,opportunist,1,19,22
agent08f,conformist,1,19,19
agent090,opportunist,1,19,27
agent091,balanced,1,20,31
agent092,conformist,1,18,26
agent093,opportunist,1,19,33
agent094,conformist,1,15,34
agent095,conformist,1,19,37
agent096,balanced,1,19,23
agent097,opportunist,1,19,39
agent098,opportunist,1,16,28
agent099,conformist,1,20,14
agent09a,opportunist,1,20,20
agent09b,opportunist,1,16,6
agent09c,conformist,1,18,38
agent09d,balanced,1,18,40
agent09e,opportunist,1,19,12
agent09f,conformist,1,15,1
agent0a0,opportunist,1,20,36
agent0a1,conformist,1,19,26
agent0a2,conformist,1,15,2
agent0a3,balanced,1,20,40
agent0a4,conformist,1,20,34
agent0a5,conformist,1,17,38
agent0a6,conformist,1,17,28
agent0a7,balanced,1,15,39
agent0a8,balanced,1,20,31
agent0a9,balanced,1,18,37
agent0aa,balanced,1,18,32
agent0ab,balanced,1,19,1
agent0ac,balanced,1,15,20
agent0ad,balanced,1,18,18
agent0ae,opportunist,1,20,30
agent0af,opportunist,1,17,37
agent0b0,opportunist,1,17,39
agent0b1,opportunist,1,16,14
agent0b2,conformist,1,17,18
agent0b3,conformist,1,16,7
agent0b4,conformist,1,20,21
agent0b5,conformist,1,20,29
agent0b6,conformist,1,16,39
agent0b7,conformist,1,18,15
agent0b8,balanced,1,17,4
agent0b9,opportunist,1,15,25
agent0ba,balanced,1,18,16
agent0bb,balanced,1,19,26
agent0bc,balanced,1,16,1
agent0bd,conformist,1,16,2
agent0be,balanced,1,20,15
agent0bf,conformist,1,19,40
agent0c0,balanced,1,16,37
agent0c1,balanced,1,20,38
agent0c2,opportunist,1,18,31
agent0c3,conformist,1,20,24
agent0c4,conformist,1,20,39
agent0c5,conformist,1,18,26
agent0c6,balanced,1,17,20
agent0c7,opportunist,1,16,12
