Name,Type,Communicative,Count Norm treshold, Init Area
agent083,conformist,1,8,33
agent084,opportunist,1,8,3
agent085,conformist,1,5,13
agent086,opportunist,1,7,13
agent087,opportunist,1,6,27
agent088,conformist,1,8,29
agent089,conformist,1,5,30
agent08a,balanced,1,10,13
agent08b,conformist,1,7,14
agent08c,opportunist,1,7,33
agent08d,balanced,1,8,28
agent08e,conformist,1,6,14
agent08f,balanced,1,6,29
agent090,opportunist,1,8,8
agent091,opportunist,1,9,19
agent092,opportunist,1,9,19
agent093,conformist,1,6,4
agent094,conformist,1,9,33
agent095,balanced,1,8,7
agent096,opportunist,1,8,18
agent097,conformist,1,7,30
agent098,balanced,1,7,4
agent099,balanced,1,10,22
agent09a,balanced,1,10,9
agent09b,balanced,1,8,39
agent09c,opportunist,1,5,19
agent09d,opportunist,1,7,22
agent09e,conformist,1,8,40
agent09f,conformist,1,9,35
agent0a0,conformist,1,9,22
agent0a1,opportunist,1,6,27
agent0a2,balanced,1,5,3
agent0a3,conformist,1,5,10
agent0a4,conformist,1,7,1
agent0a5,opportunist,1,10,38
agent0a6,conformist,1,7,31
agent0a7,conformist,1,10,33
agent0a8,conformist,1,10,33
agent0a9,conformist,1,6,17
agent0aa,balanced,1,6,19
agent0ab,conformist,1,5,37
agent0ac,balanced,1,8,5
agent0ad,conformist,1,9,18
agent0ae,conformist,1,6,35
agent0af,balanced,1,5,9
agent0b0,conformist,1,5,14
agent0b1,conformist,1,8,26
agent0b2,opportunist,1,5,2
agent0b3,balanced,1,5,26
agent0b4,balanced,1,8,30
agent0b5,balanced,1,9,8
agent0b6,balanced,1,5,17
agent0b7,balanced,1,9,38
agent0b8,conformist,1,7,26
agent0b9,balanced,1,5,6
agent0ba,balanced,1,6,37
agent0bb,opportunist,1,10,21
agent0bc,balanced,1,9,12
agent0bd,conformist,1,5,19
agent0be,conformist,1,8,17
agent0bf,conformist,1,6,18
agent0c0,opportunist,1,6,29
agent0c1,opportunist,1,5,1
agent0c2,balanced,1,8,5
agent0c3,opportunist,1,7,39
agent0c4,conformist,1,10,27
agent0c5,conformist,1,7,23
agent0c6,conformist,1,5,27
agent0c7,balanced,1,9,13
